Port,TCP,UDP,Description,IANA status[1]
1418,Yes,Yes,Timbuktu Service 2 Port,Official
1419,Yes,Yes,Timbuktu Service 3 Port,Official
1420,Yes,Yes,Timbuktu Service 4 Port,Official
1431,Yes,,"Reverse Gossip Transport Protocol (RGTP), used to access a General-purpose Reverse-Ordered Gossip Gathering System (GROGGS) bulletin board, such as that implemented on the Cambridge University's Phoenix system",Official
1433,Yes,Yes,Microsoft SQL Server database management system (MSSQL) server,Official
1434,Yes,Yes,Microsoft SQL Server database management system (MSSQL) monitor,Official
1492,Yes,,"Sid Meier's CivNet, a multiplayer remake of the original Sid Meier's Civilization game[citation needed]",Unofficial
1494,Yes,Yes,Citrix Independent Computing Architecture (ICA)[122],Unofficial
1500,Yes,,IBM Tivoli Storage Manager server[123],Unofficial
1501,Yes,,IBM Tivoli Storage Manager client scheduler[123],Unofficial
1503,Yes,Yes,Windows Live Messenger (Whiteboard and Application Sharing)[124],Unofficial
1512,Yes,Yes,Microsoft's Windows Internet Name Service (WINS),Official
1513,Yes,Yes,Garena game client[citation needed],Unofficial
1521,Yes,Yes,nCUBE License Manager,Official
1521,Yes,,"Oracle database default listener, in future releases[when?][125] official port 2483 (TCP/IP) and 2484 (TCP/IP with SSL)",Unofficial
1524,Yes,Yes,"ingreslock, ingres",Official
1527,Yes,Yes,"Oracle Net Services, formerly known as SQL*Net[126]",Official
1527,Yes,,Apache Derby Network Server[127],Unofficial
1533,Yes,Yes,IBM Sametime Virtual Places Chat,Official
1540,Yes,Yes,1C:Enterprise server agent (ragent) [128] [129],Unofficial
1541,Yes,Yes,1C:Enterprise master cluster manager (rmngr) [128],Unofficial
1542,Yes,Yes,1C:Enterprise configuration repository server [128],Unofficial
1545,Yes,Yes,1C:Enterprise cluster administration server (RAS) [128],Unofficial
1547,Yes,Yes,Laplink,Official
1550,Yes,Yes,1C:Enterprise debug server [128],Unofficial
1550,Yes,,Gadu-Gadu (direct client-to-client)[citation needed],Unofficial
1560-1591,Yes,Yes,1C:Enterprise cluster working processes [128],Unofficial
1581,Yes,Yes,MIL STD 2045-47001 VMF,Official
1581,Yes,,IBM Tivoli Storage Manager web client[123],Unofficial
1582–1583,Yes,,IBM Tivoli Storage Manager server web interface[123],Unofficial
1583,?,?,Pervasive PSQL[130],Unofficial
1589,Yes,Yes,Cisco VLAN Query Protocol (VQP),Official
1604,Yes,Yes,DarkComet remote administration tool (RAT)[citation needed],Unofficial
1626,Yes,?,iSketch[131],Unofficial
1627,Yes,?,iSketch[131],Unofficial
1628,Yes,Yes,LonTalk normal,Official
1629,Yes,Yes,LonTalk urgent,Official
1645,,Yes,Early deployment of RADIUS before RFC standardization was done using UDP port number 1645. Enabled for compatibility reasons by default on Cisco[citation needed] and Juniper Networks RADIUS servers.[132] Official port is 1812. TCP port 1645 must not be used.[133],Unofficial
1646,,Yes,"Old radacct port,[when?] RADIUS accounting protocol. Enabled for compatibility reasons by default on Cisco[citation needed] and Juniper Networks RADIUS servers.[132] Official port is 1813. TCP port 1646 must not be used.[133]",Unofficial
1666,Yes,,Perforce[134],Unofficial
1677,Yes,Yes,Novell GroupWise clients in client/server access mode,Official
1688,Yes,,Microsoft Key Management Service (KMS) for Windows Activation[135],Unofficial
1701,Yes,Yes,Layer 2 Forwarding Protocol (L2F),Official
1701,Assigned,Yes,Layer 2 Tunneling Protocol (L2TP)[10],Official
1707,Yes,Yes,Windward Studios games (vdmplay),Official
1707,,Yes,"L2TP/IPsec, for establish an initial connection[136]",Unofficial
1716,,Yes,"America's Army, a massively multiplayer online game (MMO)[137]",Unofficial
1719,Yes,Yes,H.323 registration and alternate communication,Official
1720,Yes,Yes,H.323 call signaling,Official
1723,Yes,Assigned,Point-to-Point Tunneling Protocol (PPTP)[10],Official
1755,Yes,Yes,"Microsoft Media Services (MMS, ms-streaming)",Official
1761,Yes,Yes,Novell ZENworks[138][139],Unofficial
1783,,,"Decomissioned [sic] Port 04/14/00, ms",Official
1801,Yes,Yes,Microsoft Message Queuing,Official
1812,Yes,Yes,"RADIUS authentication protocol, radius",Official
1813,Yes,Yes,"RADIUS accounting protocol, radius-acct",Official
1863,Yes,Yes,"Microsoft Notification Protocol (MSNP), used by the Microsoft Messenger service and a number of instant messaging Messenger clients",Official
1880,?,?,Node-RED[140],Unofficial
1883,Yes,Yes,MQTT (formerly MQ Telemetry Transport),Official
1900,Assigned,Yes,"Simple Service Discovery Protocol (SSDP),[10] discovery of UPnP devices",Official
1935,Yes,Yes,"Macromedia Flash Communications Server MX, the precursor to Adobe Flash Media Server before Macromedia's acquisition by Adobe on December 3, 2005",Official
1935,Yes,Yes,"Real Time Messaging Protocol (RTMP)[citation needed], primarily used in Adobe Flash[141]",Unofficial
1967,,Yes,Cisco IOS IP Service Level Agreements (IP SLAs) Control Protocol[citation needed],Unofficial
1970,Yes,Yes,Netop Remote Control,Official
1972,Yes,Yes,InterSystems Caché,Official
1984,Yes,Yes,Big Brother,Official
1985,Assigned,Yes,Cisco Hot Standby Router Protocol (HSRP)[142],Official
1998,Yes,Yes,Cisco X.25 over TCP (XOT) service,Official
2000,Yes,Yes,Cisco Skinny Client Control Protocol (SCCP),Official
2010,?,?,Artemis: Spaceship Bridge Simulator[143],Unofficial
2033,Yes,Yes,Civilization IV multiplayer[144],Unofficial
2049,"Yes, and SCTP",Yes,Network File System (NFS)[10],Official
2056,Yes,Yes,Civilization IV multiplayer[144],Unofficial
2080,Yes,Yes,Autodesk NLM (FLEXlm),Official
2082,Yes,,cPanel default[145],Unofficial
2083,Yes,Yes,Secure RADIUS Service (radsec),Official
2083,Yes,,cPanel default SSL[145],Unofficial
2086,Yes,Yes,GNUnet,Official
2086,Yes,,WebHost Manager default[145],Unofficial
2087,Yes,,WebHost Manager default SSL[145],Unofficial
2095,Yes,,cPanel default web mail[145],Official
2096,Yes,,cPanel default SSL web mail[145],Unofficial
2100,Yes,,Warzone 2100 multiplayer[citation needed],Unofficial
2101,Yes,,Networked Transport of RTCM via Internet Protocol (NTRIP)[citation needed],Unofficial
2102,Yes,Yes,Zephyr Notification Service server,Official
2103,Yes,Yes,Zephyr Notification Service serv-hm connection,Official
2104,Yes,Yes,Zephyr Notification Service hostmanager,Official
2123,Yes,Yes,GTP control messages (GTP-C),Official
2142,Yes,Yes,TDMoIP (TDM over IP),Official
2152,Yes,Yes,GTP user data messages (GTP-U),Official
2159,Yes,Yes,GDB remote debug port,Official
2181,Yes,Yes,EForward-document transport system,Official
2181,Yes,,Apache ZooKeeper default client port[citation needed],Unofficial
2195,Yes,,Apple Push Notification Service[10][146],Unofficial
2196,Yes,,"Apple Push Notification Service, feedback service[10][146]",Unofficial
2210,Yes,Yes,NOAAPORT Broadcast Network,Official
2211,Yes,Yes,EMWIN,Official
2221,Yes,,ESET anti-virus updates[147],Unofficial
2222,Yes,Yes,EtherNet/IP implicit messaging for IO data,Official
2222,?,?,DirectAdmin Access[148],Unofficial
2222–2226,Yes,,ESET Remote administrator[147],Official
2261,Yes,Yes,CoMotion master,Official
2262,Yes,Yes,CoMotion backup,Official
2266,Yes,Yes,M-Files,Official
2302,,Yes,ArmA multiplayer[citation needed],Unofficial
2302,,Yes,Halo: Combat Evolved multiplayer host[149],Unofficial
2303,,Yes,ArmA multiplayer (default port for game +1)[citation needed],Unofficial
2303,,Yes,Halo: Combat Evolved multiplayer listener[149],Unofficial
2305,,Yes,ArmA multiplayer (default port for game +3)[citation needed],Unofficial
2351,Yes,,AIM game LAN network port[citation needed],Unofficial
2368,Yes,,Ghost (blogging platform)[150],Unofficial
2369,Yes,,Default for BMC Control-M/Server Configuration Agent,Unofficial
2370,Yes,,"Default for BMC Control-M/Server, to allow the Control-M/Enterprise Manager to connect to the Control-M/Server",Unofficial
2372,Yes,,"Default for K9 Web Protection/parental controls, content filtering agent[citation needed]",Unofficial
2375,Yes,Reserved,Docker REST API (plain),Official
2376,Yes,Reserved,Docker REST API (SSL),Official
2377,Yes,Reserved,Docker Swarm cluster management communications[151],Official
2379,Yes,Reserved,CoreOS etcd client communication,Official
2379,Yes,,KGS Go Server[152],Unofficial
2380,Yes,Reserved,CoreOS etcd server communication,Official
2389,Assigned,Assigned,OpenView Session Mgr,Official
2399,Yes,Yes,FileMaker Data Access Layer (ODBC/JDBC),Official
2401,Yes,Yes,CVS version control system password-based server,Official
2404,Yes,Yes,"IEC 60870-5-104, used to send electric power telecontrol messages between two systems via directly connected data circuits",Official
2424,Yes,,OrientDB database listening for binary client connections[153],Unofficial
2427,Yes,Yes,Media Gateway Control Protocol (MGCP) media gateway,Official
2447,Yes,Yes,ovwdb—OpenView Network Node Manager (NNM) daemon,Official
2480,Yes,,OrientDB database listening for HTTP client connections[153],Unofficial
2483,Yes,Yes,"Oracle database listening for insecure client connections to the listener, replaces port 1521[when?]",Official
2484,Yes,Yes,Oracle database listening for SSL client connections to the listener,Official
2535,Yes,Yes,Multicast Address Dynamic Client Allocation Protocol (MADCAP).[154] All standard messages are UDP datagrams.[155],Official
2541,Yes,Yes,LonTalk/IP,Official
2546–2548,Yes,Yes,EVault data protection services,Official
2593,Yes,Yes,Ultima Online servers[citation needed],Unofficial
2598,Yes,,Citrix Independent Computing Architecture (ICA) with Session Reliability; port 1494 without session reliability[122],Unofficial
2599,Yes,Yes,Ultima Online servers[citation needed],Unofficial
2638,Yes,Yes,SQL Anywhere database server[156][157],Official
2710,Yes,Yes,XBT Tracker.[158] UDP tracker extension is considered experimental.[159],Unofficial
2727,Yes,Yes,Media Gateway Control Protocol (MGCP) media gateway controller (call agent),Official
2775,Yes,Yes,Short Message Peer-to-Peer (SMPP)[citation needed],Official
2809,Yes,Yes,"corbaloc:iiop URL, per the CORBA 3.0.3 specification",Official
2811,Yes,Yes,"gsi ftp, per the GridFTP specification",Official
2827,Yes,,I2P BOB Bridge[160],Unofficial
2944,Yes,Yes,Megaco text H.248,Official
2945,Yes,Yes,Megaco binary (ASN.1) H.248,Official
2947,Yes,Yes,"gpsd, GPS daemon",Official
2948,Yes,Yes,WAP push Multimedia Messaging Service (MMS),Official
2949,Yes,Yes,WAP push secure (MMS),Official
2967,Yes,Yes,Symantec System Center agent (SSC-AGENT),Official
3000,Yes,,Cloud9 IDE server[citation needed],Unofficial
3000,Yes,,Ruby on Rails development default[161],Unofficial
3000,Yes,,Meteor development default[162][not in citation given],Unofficial
3000,Yes,Yes,"Resilio Sync,[163] spun from BitTorrent Sync.",Unofficial
3000,,Yes,Distributed Interactive Simulation (DIS)[citation needed],Unofficial
3004,Yes,,iSync[10],Unofficial
3020,Yes,Yes,"Common Internet File System (CIFS). See also port 445 for Server Message Block (SMB), a dialect of CIFS.",Official
3050,Yes,Yes,gds-db (Interbase/Firebird databases),Official
3052,Yes,Yes,APC PowerChute Network,Official
3074,Yes,Yes,Xbox LIVE and Games for Windows – Live,Official
3101,Yes,,BlackBerry Enterprise Server communication protocol[164],Unofficial
3128,Yes,?,Squid caching web proxy[165],Unofficial
3225,Yes,Yes,Fibre Channel over IP (FCIP),Official
3233,Yes,Yes,WhiskerControl research control protocol,Official
3260,Yes,Yes,iSCSI,Official
3268,Yes,Yes,"msft-gc, Microsoft Global Catalog (LDAP service which contains data from Active Directory forests)",Official
3269,Yes,Yes,"msft-gc-ssl, Microsoft Global Catalog over SSL (similar to port 3268, LDAP over SSL)",Official
3283,Yes,Yes,"Net Assistant,[10] a predecessor to Apple Remote Desktop",Official
3283,Yes,Yes,Apple Remote Desktop 2.0 or later[10],Unofficial
3290,,Yes,Virtual Air Traffic Simulation (VATSIM) network voice communication[citation needed],Unofficial
3305,Yes,Yes,Odette File Transfer Protocol (OFTP),Official
3306,Yes,Assigned,MySQL database system[10],Official
3313,Yes,,Verisys file integrity monitoring software,Unofficial
3316,Yes,,AzimuthVMS database port for the CCTV recording software AzimuthVMS,Unofficial
3323,Yes,Yes,DECE GEODI Server,Unofficial
3332,,Yes,Thundercloud DataPath Overlay Control,Unofficial
3333,Yes,,"Eggdrop, an IRC bot default port[166]",Unofficial
3333,Yes,,Network Caller ID server,Unofficial
3333,Yes,,CruiseControl.rb[167],Unofficial
3351,?,?,Pervasive PSQL[130],Unofficial
3386,Yes,Yes,GTP' 3GPP GSM/UMTS CDR logging protocol,Official
3389,Yes,Yes,Microsoft Terminal Server (RDP) officially registered as Windows Based Terminal (WBT)[168],Official
3396,Yes,Yes,Novell NDPS Printer Agent,Official
3412,Yes,Yes,xmlBlaster,Official
3455,Yes,Yes,Resource Reservation Protocol (RSVP),Official
3423,Yes,,Xware xTrm Communication Protocol,Official
3424,Yes,,Xware xTrm Communication Protocol over SSL,Official
3478,Yes,Yes,"STUN, a protocol for NAT traversal[169]",Official
3478,Yes,Yes,"TURN, a protocol for NAT traversal[170] (extension to STUN)",Official
3478,Yes,Yes,STUN Behavior Discovery.[171] See also port 5349.,Official
3479,Yes,Yes,PlayStation Network[172],Unofficial
3480,Yes,Yes,PlayStation Network[172],Unofficial
3483,,Yes,Slim Devices discovery protocol,Official
3483,Yes,,Slim Devices SlimProto protocol,Official
3493,Yes,Yes,Network UPS Tools (NUT),Official
3516,Yes,Yes,Smartcard Port,Official
3527,,Yes,Microsoft Message Queuing,Official
3535,Yes,,SMTP alternate[173],Unofficial
3544,,Yes,Teredo tunneling,Official
3632,Yes,Assigned,"Distcc, distributed compiler[10]",Official
3645,Yes,Yes,Cyc,Official
3659,Yes,Yes,"Apple SASL, used by Mac OS X Server Password Server[10]",Official
3659,,Yes,Battlefield 4,Unofficial
3667,Yes,Yes,Information Exchange,Official
3689,Yes,Assigned,"Digital Audio Access Protocol (DAAP), used by Apple's iTunes and AirPlay[10]",Official
3690,Yes,Yes,Subversion (SVN)[10] version control system,Official
3702,Yes,Yes,"Web Services Dynamic Discovery (WS-Discovery), used by various components of Windows Vista and later",Official
3724,Yes,Yes,Some Blizzard games[119],Official
3724,Yes,,Club Penguin Disney online game for kids,Unofficial
3725,Yes,Yes,Netia NA-ER Port,Official
3768,Yes,Yes,RBLcheckd server daemon,Official
3784,,Yes,Bidirectional Forwarding Detection (BFD)for IPv4 and IPv6 (Single Hop) (RFC 5881),Official
3785,,Yes,VoIP program used by Ventrilo,Unofficial
3799,,Yes,RADIUS change of authorization,Official
3804,Yes,Yes,Harman Professional HiQnet protocol,Official
3825,Yes,,RedSeal Networks client/server connection[citation needed],Unofficial
3826,Yes,Yes,WarMUX game server,Official
3826,Yes,,RedSeal Networks client/server connection[citation needed],Unofficial
3835,Yes,,RedSeal Networks client/server connection[citation needed],Unofficial
3830,Yes,Yes,"System Management Agent, developed and used by Cerner to monitor and manage solutions",Official
3856,Yes,Yes,ERP Server Application used by F10 Software,Unofficial
3880,Yes,Yes,IGRS,Official
3868,"Yes, and SCTP",,Diameter base protocol (RFC 3588),Official
3872,Yes,,Oracle Enterprise Manager Remote Agent,Official
3900,Yes,,"udt_os, IBM UniData UDT OS[174]",Official
3960,,Yes,Warframe online interaction[citation needed],Unofficial
3962,,Yes,Warframe online interaction[citation needed],Unofficial
3978,Yes,Yes,OpenTTD game (masterserver and content service),Unofficial
3979,Yes,Yes,OpenTTD game,Unofficial
3999,Yes,Yes,Norman distributed scanning service,Official
4000,Yes,Yes,Diablo II game,Unofficial
4001,Yes,,Microsoft Ants game,Unofficial
4001,Yes,,CoreOS etcd client communication,Unofficial
4018,Yes,Yes,Protocol information and warnings[clarification needed],Official
4035,Yes,,IBM Rational Developer for System z Remote System Explorer Daemon,Unofficial
4045,Yes,Yes,Solaris lockd NFS lock daemon/manager,Unofficial
4050,Yes,,Mud Master Chat protocol (MMCP) - Peer-to-peer communications between MUD clients.[175],Unofficial
4069,,Yes,Minger Email Address Verification Protocol[176],Official
4089,Yes,Yes,OpenCORE Remote Control Service,Official
4090,Yes,Yes,Kerio,Official
4093,Yes,Yes,PxPlus Client server interface ProvideX,Official
4096,Yes,Yes,Ascom Timeplex Bridge Relay Element (BRE),Official
4105,Yes,Yes,Shofar (ShofarNexus),Official
4111,Yes,Assigned,Xgrid[10],Official
4116,Yes,Yes,Smartcard-TLS,Official
4125,Yes,,Microsoft Remote Web Workplace administration,Unofficial
4172,Yes,Yes,Teradici PCoIP,Official
4190,Yes,,ManageSieve[177],Official
4198,Yes,Yes,Couch Potato Android app[178],Unofficial
4201,Yes,,TinyMUD and various derivatives,Unofficial
4222,Yes,,NATS server default port[179],Unofficial
4226,Yes,Yes,"Aleph One, a computer game",Unofficial
4242,Yes,,Orthanc – DICOM server[180],Unofficial
4242,Yes,,Quassel distributed IRC client,Unofficial
4243,Yes,,"Docker implementations, redistributions, and setups default[181][needs update?]",Unofficial
4243,Yes,,CrashPlan,Unofficial
4244,Yes,Yes,Viber[182],Unofficial
4303,Yes,Yes,Simple Railroad Command Protocol (SRCP),Official
4307,Yes,,TrueConf Client - TrueConf Server media data exchange[183],Official
4321,Yes,,Referral Whois (RWhois) Protocol[184],Official
4444,Yes,Yes,Oracle WebCenter Content: Content Server—Intradoc Socket port. (formerly known as Oracle Universal Content Management).,Unofficial
4444,?,?,Metasploit's default listener port[citation needed],Unofficial
4444,Yes,Yes,Xvfb X server virtual frame buffer service,Unofficial
4444–4445,Yes,,I2P HTTP/S proxy,Unofficial
4486,Yes,Yes,Integrated Client Message Service (ICMS),Official
4488,Yes,Assigned,"Apple Wide Area Connectivity Service, used by Back to My Mac[10]",Official
4500,Assigned,Yes,"IPSec NAT Traversal[10] (RFC 3947, RFC 4306)",Official
4502–4534,Yes,,Microsoft Silverlight connectable ports under non-elevated trust,Official
4505–4506,Yes,,Salt master,Unofficial
4534,,Yes,Armagetron Advanced server default,Unofficial
4560,Yes,,default Log4j socketappender port,Unofficial
4567,Yes,,Sinatra default server port in development mode (HTTP),Unofficial
4569,,Yes,Inter-Asterisk eXchange (IAX2),Official
4604,Yes,,Identity Registration Protocol,Official
4605,Yes,,Direct End to End Secure Chat Protocol,Official
4610–4640,Yes,,QualiSystems TestShell Suite Services,Unofficial
4662,Yes,Yes,OrbitNet Message Service,Official
4662,Yes,,Default for older versions of eMule[185],Unofficial
4664,Yes,,Google Desktop Search,Unofficial
4672,,Yes,Default for older versions of eMule[185],Unofficial
4711,Yes,,eMule optional web interface[185],Unofficial
4713,Yes,,PulseAudio sound server,Unofficial
4728,Yes,,Computer Associates Desktop and Server Management (DMP)/Port Multiplexer[186],Official
4730,Yes,Yes,Gearman's job server,Official
4739,Yes,Yes,IP Flow Information Export,Official
4747,Yes,,Apprentice,Unofficial
4753,Yes,Yes,SIMON (service and discovery),Official
4789,,Yes,Virtual eXtensible Local Area Network (VXLAN)[187],Official
4840,Yes,Yes,OPC UA Connection Protocol (TCP) and OPC UA Multicast Datagram Protocol (UDP) for OPC Unified Architecture from OPC Foundation,Official
4843,Yes,Yes,OPC UA TCP Protocol over TLS/SSL for OPC Unified Architecture from OPC Foundation,Official
4847,Yes,Yes,"Web Fresh Communication, Quadrion Software & Odorless Entertainment",Official
4848,Yes,,"Java, Glassfish Application Server administration default",Unofficial
4894,Yes,Yes,LysKOM Protocol A,Official
4949,Yes,,Munin Resource Monitoring Tool,Official
4950,Yes,Yes,Cylon Controls UC32 Communications Port,Official
5000,Yes,,UPnP—Windows network device interoperability,Unofficial
5000,Yes,Yes,"VTun, VPN Software",Unofficial
5000,,Yes,FlightGear multiplayer[188],Unofficial
5000,Yes,,"Synology Inc. Management Console, File Station, Audio Station",Unofficial
5000,Yes,,Flask Development Webserver,Unofficial
5000,Yes,,Heroku console access,Unofficial
5000,Yes,,"AT&T U-verse public, educational, and government access (PEG) streaming over HTTP[189]",Unofficial
5000,?,?,High-Speed SECS Message Services[citation needed],Unofficial
5000–5500,No,Yes,"League of Legends, a multiplayer online battle arena video game[190]",Unofficial
5001,Yes,,Slingbox and Slingplayer,Unofficial
5001,Yes,Yes,Iperf (Tool for measuring TCP and UDP bandwidth performance),Unofficial
5001,Yes,,"Synology Inc. Secured Management Console, File Station, Audio Station",Unofficial
5002,Yes,,ASSA ARX access control system[191],Unofficial
5003,Yes,Assigned,FileMaker – name binding and transport[10],Official
5004,"Yes, and DCCP",Yes,"Real-time Transport Protocol media data (RTP) (RFC 3551, RFC 4571)",Official
5005,"Yes, and DCCP",Yes,"Real-time Transport Protocol control protocol (RTCP) (RFC 3551, RFC 4571)",Official
5010,Yes,Yes,Registered to: TelePath (the IBM FlowMark workflow-management system messaging platform)[192]The TCP port is now used for: IBM WebSphere MQ Workflow,Official
5011,Yes,Yes,TelePath (the IBM FlowMark workflow-management system messaging platform)[192],Official
5025,Yes,Yes,scpi-raw Standard Commands for Programmable Instruments,Official
5031,Yes,Yes,AVM CAPI-over-TCP (ISDN over Ethernet tunneling)[citation needed],Unofficial
5037,Yes,,Android ADB server,Unofficial
5048,Yes,,Texai Message Service,Official
5050,Yes,,Yahoo! Messenger,Unofficial
5051,Yes,,ita-agent Symantec Intruder Alert[193],Official
5060,Yes,Yes,Session Initiation Protocol (SIP)[10],Official
5061,Yes,,Session Initiation Protocol (SIP) over TLS,Official
5062,Yes,Yes,Localisation access,Official
5064,Yes,Yes,EPICS Channel Access server[194],Official
5065,Assigned,Yes,EPICS Channel Access repeater beacon[194],Official
5070,Yes,No,Binary Floor Control Protocol (BFCP)[195],Unofficial
5084,Yes,Yes,EPCglobal Low Level Reader Protocol (LLRP),Official
5085,Yes,Yes,EPCglobal Low Level Reader Protocol (LLRP) over TLS,Official
5093,,Yes,"SafeNet, Inc Sentinel LM, Sentinel RMS, License Manager, client-to-server",Official
5099,Yes,Yes,"SafeNet, Inc Sentinel LM, Sentinel RMS, License Manager, server-to-server",Official
5104,Yes,,IBM Tivoli Framework NetCOOL/Impact[196] HTTP Service,Unofficial
5121,Yes,,Neverwinter Nights,Unofficial
5124,Yes,Yes,TorgaNET (Micronational Darknet),Unofficial
5125,Yes,Yes,TorgaNET (Micronational Intelligence Darknet),Unofficial
5150,Yes,Yes,ATMP Ascend Tunnel Management Protocol[197],Official
5151,Yes,,ESRI SDE Instance,Official
5151,,Yes,ESRI SDE Remote Start,Official
5154,Yes,Yes,BZFlag,Official
5172,Yes,,PC over IP Endpoint Management[198],Official
5190,Yes,Yes,AOL Instant Messenger protocol.[10] The chat app is defunct as of  15 December 2017.[199],Official
5198,,Yes,EchoLink VoIP Amateur Radio Software (Voice),Unofficial
5199,,Yes,EchoLink VoIP Amateur Radio Software (Voice),Unofficial
5200,Yes,,EchoLink VoIP Amateur Radio Software (Information),Unofficial
5201,Yes,Yes,Iperf3 (Tool for measuring TCP and UDP bandwidth performance),Unofficial
5222,Yes,Reserved,Extensible Messaging and Presence Protocol (XMPP) client connection[10][200][201],Official
5223,Yes,,Apple Push Notification Service[10][146],Unofficial
5223,Yes,,Extensible Messaging and Presence Protocol (XMPP) client connection over SSL,Unofficial
5228,Yes,,HP Virtual Room Service,Official
5228,Yes,,"Google Play, Android Cloud to Device Messaging Service, Google Cloud Messaging",Unofficial
5242,Yes,Yes,Viber[182],Unofficial
5243,Yes,Yes,Viber[182],Unofficial
5246,,Yes,Control And Provisioning of Wireless Access Points (CAPWAP) CAPWAP control[202],Official
5247,,Yes,Control And Provisioning of Wireless Access Points (CAPWAP) CAPWAP data[202],Official
5269,Yes,,Extensible Messaging and Presence Protocol (XMPP) server-to-server connection[10][200][201],Official
5280,Yes,,Extensible Messaging and Presence Protocol (XMPP)[203],Official
5281,Yes,,Extensible Messaging and Presence Protocol (XMPP)[204],Unofficial
5298,Yes,Yes,Extensible Messaging and Presence Protocol (XMPP)[205],Official
5310,Assigned,Yes,"Outlaws, a 1997 first-person shooter video game[citation needed]",Official
5318,Yes,Reserved,Certificate Management over CMS[206],Official
5349,Yes/No,Yes/No,"STUN over TLS/DTLS, a protocol for NAT traversal[169]",Official
5349,Yes/No,Yes/No,"TURN over TLS/DTLS, a protocol for NAT traversal[170]",Official
5349,Yes,Reserved,STUN Behavior Discovery over TLS.[171] See also port 3478.,Official
5351,Reserved,Yes,NAT Port Mapping Protocol and Port Control Protocol—client-requested configuration for connections through network address translators and firewalls,Official
5353,Assigned,Yes,Multicast DNS (mDNS)[10],Official
5355,Yes,Yes,"Link-Local Multicast Name Resolution (LLMNR), allows hosts to perform name resolution for hosts on the same local link (only provided by Windows Vista and Server 2008)",Official
5357,Yes,Yes,"Web Services for Devices (WSDAPI) (only provided by Windows Vista, Windows 7 and Server 2008)",Unofficial
5358,Yes,Yes,"WSDAPI Applications to Use a Secure Channel (only provided by Windows Vista, Windows 7 and Server 2008)",Unofficial
5394,,Yes,"Kega Fusion, a Sega multi-console emulator[207][208]",Unofficial
5402,Yes,Yes,Multicast File Transfer Protocol (MFTP)[209][importance?],Official
5405,Yes,Yes,NetSupport Manager,Official
5412,Yes,Yes,IBM Rational Synergy (Telelogic Synergy) (Continuus CM) Message Router,Official
5413,Yes,Yes,Wonderware SuiteLink service,Official
5417,Yes,Yes,SNS Agent,Official
5421,Yes,Yes,NetSupport Manager,Official
5432,Yes,Assigned,PostgreSQL[10] database system,Official
5433,Yes,,Bouwsoft file/webserver[210],Unofficial
5445,,Yes,Cisco Unified Video Advantage[citation needed],Unofficial
5480,Yes,,VMware VAMI (Virtual Appliance Management Infrastructure)—used for initial setup of various administration settings on Virtual Appliances designed using the VAMI architecture.,Unofficial
5481,Yes,,Schneider Electric's ClearSCADA (SCADA implementation for Windows) — used for client-to-server communication.[211],Unofficial
5495,Yes,,IBM Cognos TM1 Admin server,Unofficial
5498,Yes,,Hotline tracker server connection,Unofficial
5499,,Yes,Hotline tracker server discovery,Unofficial
5500,Yes,,Hotline control connection,Unofficial
